Country,ISO 3166-1 alpha-3,UN M49,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita,Population,GDP(usd/one trillion),,
Brazil,BRA,76,2023,486.470101,54.848321,326.43216,56.329263,24.963357,17.505,6.392,2.24778,216422446,0.040981747,,
Brazil,BRA,76,2022,483.840575,56.078412,319.934696,60.085369,23.845098,17.505,6.392,2.247145,215313498,0.040970169,,
Brazil,BRA,76,2021,498.016869,68.229887,305.427981,75.974387,24.487614,17.505,6.392,2.323639,214326223,0.042364816,,
Brazil,BRA,76,2020,445.208091,56.240806,282.678205,59.026099,23.365981,17.505,6.392,2.088254,213196304,0.038073253,,
Brazil,BRA,76,2019,473.389806,61.887746,299.435798,67.121324,21.047938,17.505,6.392,2.23526,211782878,0.040753481,,
Brazil,BRA,76,2018,478.379119,65.840737,300.730263,67.417075,20.494045,17.505,6.392,2.27619,210166592,0.041499721,,
Brazil,BRA,76,2017,498.266425,67.321879,316.142655,70.687793,20.217098,17.505,6.392,2.38971,208504960,0.043569428,,
Brazil,BRA,76,2016,492.748,63.831218,312.939113,69.665669,22.415,17.505,6.392,2.382041,206859578,0.043429607,,
Brazil,BRA,76,2015,529.353,69.451663,330.358576,80.464761,25.082,17.604,6.392,2.579841,205188205,0.047035916,,
Brazil,BRA,76,2014,557.901,69.033897,356.753378,81.285725,26.908,17.642,6.278,2.742072,203459650,0.049993727,,
Brazil,BRA,76,2013,532.418,65.604089,342.338124,74.703787,26.652,16.634,6.486,2.639368,201721767,0.048121218,,
Brazil,BRA,76,2012,498.309,61.016471,327.733969,63.39656,24.998,14.761,6.403,2.491823,199977707,0.045431163,,
Brazil,BRA,76,2011,462.58,62.292401,303.885017,53.100582,22.845,14.12,6.337,2.334078,198185302,0.04255514,,
Brazil,BRA,76,2010,440.269,56.688185,286.079991,55.048824,21.288,15.214,5.95,2.242226,196353492,0.040880486,,
Brazil,BRA,76,2009,389.775,43.586053,262.705409,40.958538,19.031,18.434,5.06,2.003804,194517549,0.036533552,,
Brazil,BRA,76,2008,412.638,55.315497,267.238809,51.302693,18.884,14.207,5.69,2.141657,192672317,0.039046902,,
Brazil,BRA,76,2007,390.573,54.989055,256.003342,43.245603,17.2,13.469,5.666,2.047249,190779453,0.037325646,,
Brazil,BRA,76,2006,368.871,50.837875,242.248571,42.052554,15.44,12.882,5.41,1.953552,188820682,0.035617353,,
Brazil,BRA,76,2005,364.371,50.948421,240.221198,39.619381,14.349,13.877,5.356,1.950622,186797334,0.035563933,,
Brazil,BRA,76,2004,361.434,53.832656,239.768252,38.215091,13.273,10.84,5.505,1.956637,184722043,0.035673599,,
Brazil,BRA,76,2003,344.645,51.933112,232.433668,30.91922,13.096,11.199,5.064,1.887129,182629278,0.034406322,,
Canada,CAN,124,2023,549.299001,36.769327,248.852887,237.269158,6.751512,17.49476,2.161357,14.16402,40097761,0.25823981,,
Canada,CAN,124,2022,550.611613,38.198412,246.264608,239.740964,6.751512,17.49476,2.161357,14.318587,38939056,0.261057891,,
Canada,CAN,124,2021,540.311631,45.794538,237.08289,230.941671,7.378741,16.971154,2.142637,14.160961,38239864,0.258184038,,
Canada,CAN,124,2020,526.58163,48.575084,228.175492,224.904674,6.712529,16.157941,2.05591,13.898116,38028638,0.253391822,,
Canada,CAN,124,2019,582.024977,58.777117,263.306133,234.935404,7.195056,15.656901,2.154366,15.511325,37618495,0.282804008,,
Canada,CAN,124,2018,579.078844,61.320373,261.649183,231.730807,6.989642,15.213126,2.175713,15.635882,37072620,0.285074943,,
Canada,CAN,124,2017,569.602989,73.401467,255.802509,216.78143,6.863102,14.540332,2.214148,15.582359,36545075,0.284099107,,
Canada,CAN,124,2016,558.871646,74.001443,252.213989,210.439149,6.114245,13.819613,2.283208,15.475408,36110803,0.282149166,,
Canada,CAN,124,2015,565.644081,73.719399,254.033544,213.612439,6.184772,15.765916,2.32801,15.830127,35704498,0.288616437,,
Canada,CAN,124,2014,566.468858,76.96184,253.107341,211.464899,5.911522,16.510662,2.512593,15.999862,35434066,0.291711063,,
Canada,CAN,124,2013,568.853799,79.249372,260.548973,204.249754,5.973037,16.364697,2.467967,16.223443,35080992,0.295787413,,
Canada,CAN,124,2012,564.221191,81.543756,260.896588,197.21342,6.532305,15.489684,2.545438,16.263783,34713395,0.296522896,,
Canada,CAN,124,2011,563.320374,86.834816,259.433042,193.975936,6.020141,14.619051,2.437389,16.412075,34339221,0.299226571,,
Canada,CAN,124,2010,554.734259,95.843839,257.904535,178.268475,6.005436,14.450592,2.261381,16.33329,34005902,0.297790155,,
Canada,CAN,124,2009,542.810705,93.362393,253.422977,174.223181,5.364043,14.170311,2.2678,16.158006,33630069,0.29459436,,
Canada,CAN,124,2008,575.769904,112.679885,257.097454,181.200056,6.988372,15.094333,2.709802,17.332787,33247298,0.316013083,,
Canada,CAN,124,2007,591.888685,118.820929,265.861017,180.770409,7.73102,15.844965,2.860345,18.011089,32888886,0.328379952,,
Canada,CAN,124,2006,568.173233,114.029846,259.202327,168.452315,7.728498,15.798562,2.961685,17.465128,32571193,0.318425937,,
Canada,CAN,124,2005,572.85482,116.624194,260.960505,169.200361,7.613986,15.450888,3.004886,17.781733,32242732,0.32419831,,
Canada,CAN,124,2004,579.1628,115.514195,266.975256,170.26246,7.519955,15.790152,3.100781,18.148935,31938807,0.330893174,,
Canada,CAN,124,2003,580.792399,123.101501,257.945509,174.245254,7.248136,15.299588,2.952412,18.368201,31642461,0.334890853,,
China,CHN,156,2023,11902.50316,8550.843681,1642.826795,814.782937,718.017031,4.493834,171.538883,8.348701,1410710000,0.15221434,,
China,CHN,156,2022,11350.53767,8168.899261,1489.342065,760.058737,756.020364,4.678356,171.538883,7.960333,1412175000,0.145133577,,
China,CHN,156,2021,11447.91286,8141.342048,1521.1096,765.332656,843.777256,4.81242,171.538883,8.028589,1412360000,0.146378027,,
China,CHN,156,2020,10905.69296,7679.483856,1523.05152,676.473328,849.9757,5.169677,171.538883,7.653495,1411100000,0.139539276,,
China,CHN,156,2019,10713.98482,7523.023728,1559.72816,630.17136,819.965475,3.83925,177.256846,7.535168,1407745000,0.137381926,,
China,CHN,156,2018,10332.99239,7316.3668,1500.473952,575.368912,765.835485,3.408357,171.538883,7.291804,1402760000,0.13294489,,
China,CHN,156,2017,10006.34297,7163.255568,1430.586816,486.35936,753.438754,2.969262,169.733211,7.095308,1396215000,0.129362356,,
China,CHN,156,2016,9762.713692,7071.35512,1357.838096,421.7264,740.776162,3.090373,167.927541,6.963967,1387790000,0.126967733,,
China,CHN,156,2015,9863.456796,7266.920203,1328.805062,380.052208,718.559014,3.901279,165.21903,7.077095,1379860000,0.129030294,,
China,CHN,156,2014,9990.257301,7424.993408,1255.605168,370.221552,770.283647,3.930359,165.223167,7.212194,1371860000,0.131493433,,
China,CHN,156,2013,9956.32887,7493.407616,1234.62144,320.127344,748.323128,3.632474,156.216868,7.235177,1363240000,0.131912461,,
China,CHN,156,2012,9779.292069,7464.744144,1176.71192,277.599296,714.781655,3.732554,141.7225,7.156134,1354190000,0.130471341,,
China,CHN,156,2011,9532.33211,7309.709312,1123.85872,245.989968,708.56429,3.85332,140.3565,7.024069,1345035000,0.128063519,,
China,CHN,156,2010,8620.575738,6568.74307,1092.57135,199.585321,639.591911,3.974086,116.11,6.394178,1337705000,0.116579284,,
China,CHN,156,2009,7891.078305,6028.48912,982.347712,164.40368,583.560264,4.556529,127.721,5.89271,1331260000,0.10743647,,
China,CHN,156,2008,7501.497554,5729.472936,970.117764,149.674475,525.924483,4.665596,121.6423,5.639515,1324655000,0.102820194,,
China,CHN,156,2007,6983.547409,5289.874352,927.351072,129.515072,514.980844,4.964769,116.8613,5.284508,1317885000,0.096347671,,
China,CHN,156,2006,6494.330723,4905.366864,898.533712,103.753488,470.086624,5.534235,111.0558,4.945851,1311020000,0.090173243,,
China,CHN,156,2005,5882.106219,4424.35328,850.172576,84.957168,411.648776,5.587519,105.3869,4.507749,1303720000,0.082185725,,
China,CHN,156,2004,5217.350873,3835.288336,839.09264,71.52128,368.396371,5.192006,97.86024,4.023198,1296075000,0.073351343,,
China,CHN,156,2003,4841.11869,3601.712,727.098816,60.745456,353.679249,5.179579,92.70359,3.756086,1288400000,0.068481331,,
Germany,DEU,276,2023,596.151376,188.477456,231.621804,155.461208,10.604401,1.818516,8.167992,7.15714,84482267,0.130489683,,
Germany,DEU,276,2022,671.471528,240.640273,247.440218,160.775692,12.537957,1.835065,8.242323,8.05413,83797985,0.146843693,,
Germany,DEU,276,2021,678.777268,232.149187,241.585235,181.115767,13.640217,1.87165,8.415212,8.137981,83196078,0.148372473,,
